paper_name,system_name,source_title,source_url,year,task_type,dataset_scope,metric_name_normalized,metric_name_as_reported,value,unit,direction,attempts,sample_count,status,quote_or_source_note,comparability_to_our_100_prompt_run,reason
CrysText,CrysText-RL,CrysText: A Generative AI Approach for Text-Conditioned Crystal Structure Generation Using LLM,https://chemrxiv.org/doi/10.26434/chemrxiv-2024-gjhpq,2025,text_conditioned_generation,paper_reported,composition_match_rate,Composition satisfiability,,,higher_is_better,,,needs_manual_check,Exact composition-only CrysText-RL number not confidently extracted from accessible source text.,contextual_only,Same broad instruction-following family but paper prompts/protocol differ from our 100-prompt set.
CrysText,CrysText-RL,CrysText: A Generative AI Approach for Text-Conditioned Crystal Structure Generation Using LLM,https://chemrxiv.org/doi/10.26434/chemrxiv-2024-gjhpq,2025,text_conditioned_generation,paper_reported,space_group_match_rate,Space group satisfiability,,,higher_is_better,,,needs_manual_check,Exact space-group-only CrysText-RL number not confidently extracted from accessible source text.,contextual_only,Same broad instruction-following family but paper prompts/protocol differ from our 100-prompt set.
CrysText,CrysText-RL,CrysText: A Generative AI Approach for Text-Conditioned Crystal Structure Generation Using LLM,https://chemrxiv.org/doi/10.26434/chemrxiv-2024-gjhpq,2025,text_conditioned_generation,paper_reported,composition_and_sg_match_rate,Composition and space group jointly,0.76,,higher_is_better,,,ok,PDF/search-accessible source text reports 76% for CrysText-RL vs 72% supervised.,contextual_only,Joint composition+space-group satisfaction is relevant but not the same prompt distribution.
CrysText,CrysText,CrysText: A Generative AI Approach for Text-Conditioned Crystal Structure Generation Using LLM,https://chemrxiv.org/doi/10.26434/chemrxiv-2024-gjhpq,2025,text_conditioned_generation,paper_reported,composition_and_sg_match_rate,Composition and space group jointly,0.72,,higher_is_better,,,ok,PDF/search-accessible source text reports 72% for the supervised model.,contextual_only,Joint composition+space-group satisfaction is relevant but not the same prompt distribution.
CrysText,CrysText-RL,CrysText: A Generative AI Approach for Text-Conditioned Crystal Structure Generation Using LLM,https://chemrxiv.org/doi/10.26434/chemrxiv-2024-gjhpq,2025,CSP_from_formula,MP-20,match_rate_n1,Match rate N=1,0.57,,higher_is_better,1,,ok,MP-20 CSP result reported as 57% N=1 match rate.,not_comparable,Requires MP-20 reference CIFs and paper CSP protocol; our run is prompt-intent generation.
CrysText,CrysText-RL,CrysText: A Generative AI Approach for Text-Conditioned Crystal Structure Generation Using LLM,https://chemrxiv.org/doi/10.26434/chemrxiv-2024-gjhpq,2025,CSP_from_formula,MP-20,match_rate_n20,Match rate N=20,0.73,,higher_is_better,20,,ok,MP-20 CSP result reported as 73% N=20 match rate.,not_comparable,Requires MP-20 reference CIFs and 20 attempts per target.
CrysText,CrysText-RL,CrysText: A Generative AI Approach for Text-Conditioned Crystal Structure Generation Using LLM,https://chemrxiv.org/doi/10.26434/chemrxiv-2024-gjhpq,2025,CSP_from_formula,MP-20,rms_dist,RMSE N=20,0.0243,,lower_is_better,20,,ok,MP-20 CSP result reported as RMSE 0.0243 for N=20.,not_comparable,Requires MP-20 reference CIFs and paper StructureMatcher/RMSE setup.
Lang2Str,Lang2Str,Lang2Str: Two-Stage Crystal Structure Generation with LLMs and Continuous Flow Models,https://arxiv.org/html/2603.03946v1,2026,CSP_from_formula,MP-20,structure_match_rate,MR (%),0.6392,,higher_is_better,,,"ok",Table 4 reports Lang2Str MP-20 MR 63.92%.,not_comparable,Exact only under MP-20 CSP evaluation with reference structures.
Lang2Str,Lang2Str,Lang2Str: Two-Stage Crystal Structure Generation with LLMs and Continuous Flow Models,https://arxiv.org/html/2603.03946v1,2026,CSP_from_formula,MP-20,rms_dist,RMSE,0.076,,lower_is_better,,,"ok",Table 4 reports Lang2Str MP-20 RMSE 0.076.,not_comparable,Exact only under MP-20 CSP evaluation with reference structures.
Lang2Str,Lang2Str,Lang2Str: Two-Stage Crystal Structure Generation with LLMs and Continuous Flow Models,https://arxiv.org/html/2603.03946v1,2026,CSP_from_formula,MP-20,relaxed_rms_dist,RMSE after ML-DFT relaxation,0.055,,lower_is_better,,,"ok",Table 6 reports RMSE 0.076 before and 0.055 after ML-DFT relaxation.,not_comparable,Requires comparable relaxation backend and reference matching.
Lang2Str,Lang2Str,Lang2Str: Two-Stage Crystal Structure Generation with LLMs and Continuous Flow Models,https://arxiv.org/html/2603.03946v1,2026,CSP_from_formula,MPTS-52,structure_match_rate,MR (%),0.2836,,higher_is_better,,,"ok",Table 4 reports Lang2Str MPTS-52 MR 28.36%.,not_comparable,MPTS-52 CSP protocol; not a 100-prompt text-generation metric.
Lang2Str,Lang2Str,Lang2Str: Two-Stage Crystal Structure Generation with LLMs and Continuous Flow Models,https://arxiv.org/html/2603.03946v1,2026,CSP_from_formula,MPTS-52,rms_dist,RMSE,0.1424,,lower_is_better,,,"ok",Table 4 reports Lang2Str MPTS-52 RMSE 0.1424.,not_comparable,MPTS-52 CSP protocol; not a 100-prompt text-generation metric.
CrystaLLM,CrystaLLM small,Crystal structure generation with autoregressive large language modeling,https://www.nature.com/articles/s41467-024-54639-7,2024,text_conditioned_generation,held-out_test_set,structure_match_rate,At least one match within three generation attempts,0.881,,higher_is_better,3,10286,ok,Article text reports 88.1% had at least one match within three attempts when prompted with composition and space group.,contextual_only,Uses held-out CIF prompts from model data distribution, not our intent prompts.
CrystaLLM,CrystaLLM large,Crystal structure generation with autoregressive large language modeling,https://www.nature.com/articles/s41467-024-54639-7,2024,text_conditioned_generation,challenge_set_unseen,structure_match_rate,True match rate for unseen challenge structures,0.40,,higher_is_better,100,58,ok,Article states unseen structures matched in up to 40% of cases.,contextual_only,Challenge-set recovery with 100 attempts; not equivalent to our single-result intent run.
CrystaLLM,CrystaLLM,CrystaLLM benchmarking instructions,https://github.com/lantunes/CrystaLLM/blob/main/BENCHMARKING.md,2024,CSP_from_formula,"Perov-5, Carbon-24, MP-20, MPTS-52",match_rate_n20,Match rate,,,higher_is_better,20,,needs_manual_check,Official repo documents the benchmark pipeline but not all exact table values in accessible text.,not_comparable,Use paper full-size tables or artifacts before publication-grade comparison.
Chemeleon,Chemeleon,Exploration of crystal chemical space using text-guided generative artificial intelligence,https://www.nature.com/articles/s41467-025-59636-y,2025,text_conditioned_generation,paper_reported,pre_dft_validity_rate,Validity / no atomic overlap,0.98-0.99,,higher_is_better,20,708,ok,Article reports near-perfect 98-99% validity; validity means no overlap and cell lengths under threshold.,contextual_only,Comparable as a no-overlap pre-DFT concept, but protocol and sampled prompts differ.
Chemeleon,Chemeleon Crystal CLIP,Exploration of crystal chemical space using text-guided generative artificial intelligence,https://www.nature.com/articles/s41467-025-59636-y,2025,text_conditioned_generation,paper_reported,structure_match_rate,Structure matching,0.20,,higher_is_better,20,708,ok,Article reports Crystal CLIP can recover 20% of unseen ground-truth structures with general text.,contextual_only,Requires ground-truth future structures and 20 samples per prompt.
Chemeleon,Chemeleon,Exploration of crystal chemical space using text-guided generative artificial intelligence,https://www.nature.com/articles/s41467-025-59636-y,2025,property_conditioned_generation,TiO2,relax_success_rate,MACE-MP convergence,0.9818,,higher_is_better,,549,ok,539 of 549 TiO2 generated polymorphs converged under MACE-MP preliminary optimization.,contextual_only,Relaxation backend and chemical-space task differ from our run.
